id,name,description,price,restaurant_id,image_url
26,Királyi Burger,"Kézzel formált marhahúspogácsa cheddar sajttal, karamellizált hagymával és házi szósszal friss briós zsömlében",2490,14,kiralyi_burger_r14.jpg
27,Arany Krumpli,Aranybarnára sütött ropogós hasábburgonya tengeri sóval és fokhagymás mártogatóssal tálalva,890,13,arany_krumpli_r13.jpg
28,Koronás Limonádé,"Házi készítésű citromos limonádé friss mentával és jégkockával, 0,5 literes adagban",690,12,koronas_limonade_r12.jpg
30,Gyros Pizza,Fűszeres gyros csirkehúsból és friss zöldségekből összerakott különleges pizzakombináció tzatzikivel,2300,5,gyros_pizza_r5.jpg
31,Nagy Sültkrumpli,"Aranybarnára sütött, ropogós hasábburgonya ketchuppal és majonézzel, nagy adagban tálalva",2500,1,nagy_sultkrumpli_r1.jpg
32,Classic Kosár,"2 darab Kentucky csirkerész, 4 darab csípős Hot Wings csirkeszárny, 4 darab csípős Strips csirkemell csík, 2 kis adag sültburgonya, 1 darab választható szósz.",5490,2,classic_kosar_r2.jpg
33,30 STRIPS KOSÁR,"30db Strips csípős csirkemell csík, 200 gramm rizs, 2 kis adag sült burgonya és 2 választható szósz",10190,2,strips_kosar_30_r2.jpg
34,Crispy Chicken Filé,Ropogós panírban sütött szaftos csirkemell filé friss salátával és fokhagymás mártással tálalva,3500,2,crispy_chicken_file_r2.jpg
35,Cheese Burger,"Ropogós marhahúspogácsa olvadt cheddar sajttal, mustáros-ketchupos szósszal és friss salátalevéllel",1500,1,cheese_burger_r1.jpg
36,BK Sajtburger,"Burger King receptű szaftos marhahúspogácsa dupla cheddarral, BK szósszal és savanyított uborkával",1500,3,bk_sajtburger_r3.jpg
37,Csirkemell Csíkok,Fűszeres bundában sütött ropogós csirkemell csíkok BBQ és édes-csípős mártogatóssal kínálva,3300,2,csirkemell_csikok_r2.jpg
38,Ropogós Csirkecombok,"Klasszikus titkos fűszerkeverékben pácolt, forró olajban aranybarnára sütött csirkecombok",1900,2,ropogos_csirkecombok_r2.jpg
39,Csirkeszárnyak,"Pikáns fűszerkeverékben marinált, ropogósra sütött csirkeszárnyak házi mártogatóssal",1700,2,csirkeszarnyak_r2.jpg
40,Twister Wrap,"Ropogós csirkecsík friss salátalevélben, paradicsommal és fokhagymás majonézzel tekerve",1500,2,twister_wrap_r2.jpg
41,Whopper,"Nagy marhahúspogácsa friss salátával, paradicsommal, savanyított uborkával és majonézzel",2100,3,whopper_r3.jpg
42,Crispy Chicken BK,Ropogós panírozott csirkemell filéje friss salátával és csípős majonézzel tálalva,1900,3,crispy_chicken_bk_r3.jpg
43,Onion Rings,Aranybarnára sütött hagymagyűrűk pikáns chipotle mártogatóssal kínálva,900,3,onion_rings_r3.jpg
44,Cheddar Dupla Burger,Dupla sajtos marhahúspogácsa karamellizált hagymával és füstölt BBQ szósszal,2400,3,cheddar_dupla_burger_r3.jpg
45,Pad Thai,"Wokban pirított rizstészta garnélával, tofuval, mogyoróval és tamarindos fűszerszósszal",2400,5,pad_thai_r5.jpg
46,Buddha Tál,"Meleg barnarizsalapú tál grillezett csirkemellel, avokádóval és édeskés szezámöntéttel",2200,5,buddha_tal_r5.jpg
47,Tavaszi Tekercs,Ropogós rizzsel és friss zöldségekkel töltött sült tekercsek édeskés chili mártogatóssal,1100,5,tavaszi_tekercs_r5.jpg
48,Buddha Miso Leves,"Tradicionális japán dashi alapú leves selymes tofuval, wakame algával és újhagymával",900,5,buddha_miso_leves_r5.jpg
49,Gulyásleves,"Autentikus magyar marhagulyás burgonyával, csipetkével és bőséges édes paprikával",1600,6,gulyasleves_r6.jpg
50,Sertéspörkölt Galuskával,Lassú tűzön főzött fűszeres sertéspörkölt házi galuskával és savanyúsággal kínálva,2200,6,sertesporkölt_galuskával_r6.jpg
51,Bécsi Szelet,"Vékonyra klopfolt, aranybarnára sütött rántott hús hasábburgonyával és tartármártással",2600,6,becsi_szelet_r6.jpg
52,Sajtos Lángos,"Frissen sütött, puha lángos tejföllel, reszelt sajttal és fokhagymás vajjal megkenve",900,6,sajtos_langos_r6.jpg
53,Quattro Formaggi,"Négyféle sajt (mozzarella, gorgonzola, parmezán, ricotta) gazdag keveréke pizzán",2200,7,quattro_formaggi_r7.jpg
54,Funghi Pizza,"Friss erdei gombák, fokhagyma, tejfölalapú szósz és mozzarella könnyű fehér pizzán",1900,7,funghi_pizza_r7.jpg
55,Diavola Pizza,"Csípős szalámi, jalapeño karikák és füstölt mozzarella tűzből hozott ízkombinációban",2100,7,diavola_pizza_r7.jpg
56,Tiramisù,Klasszikus olasz kávés desszert espressóba mártott babapiskótával és mascarponehabbal,1200,7,tiramisu_r7.jpg
57,Dragon Roll,"Ropogós garnéla és uborka belülről, kívül lazacszelet és avokádó édeskés szójaszósszal",2800,8,dragon_roll_r8.jpg
58,Szamuráj Miso Leves,"Klasszikus japán miso leves selymes tofukockákkal, wakame algával és újhagymával",800,8,szamuraj_miso_leves_r8.jpg
59,Edamame,"Enyhén tengeri sóval ízesített, gőzölt fiatal szójabab – könnyű és egészséges előétel",700,8,edamame_r8.jpg
60,Gyoza,"Ropogósra sütött japán töltelékek sertéshússal, káposztával és gyömbéres ponzu szósszal",1400,8,gyoza_r8.jpg
61,Pizzéria Margherita,"Egyszerű és tökéletes: paradicsomalap, friss bivalymozzarella és bazsalikomlevelek",1400,9,pizzeria_margherita_r9.jpg
62,Tonno Pizza,"Tonhal, kapribogyó, vörös hagyma és fekete olívabogyó könnyű paradicsomalapon",1800,9,tonno_pizza_r9.jpg
63,Prosciutto Pizza,"Pármai sonka, friss rucola, koktélparadicsom és parmezánforgács frissen sült pizzán",2000,9,prosciutto_pizza_r9.jpg
64,Pizzéria Tiramisù,Házi receptű olasz desszert espressóba mártott babapiskótával és bársonyos mascarponehabbal,1100,9,pizzeria_tiramisu_r9.jpg
65,Ribeye Steak,"Márványozott ribeye steak sütőburgonyával, házi jus mártással és fokhagymás vajjal",4500,10,ribeye_steak_r10.jpg
66,Club Szendvics,"Háromrétegű pirított szendvics csirkemellel, ropogós bekonnal, salátával és majonézzel",2200,10,club_szendvics_r10.jpg
67,Nachos,"Ropogós tortillachips cheddar szósszal, jalapeñóval, guacamoléval és házi salsa mártással",1600,10,nachos_r10.jpg
68,BBQ Csirkecombok,Lassú tűzön pácolt és grillezett csirkecombok füstölt édes-csípős BBQ szósszal tálalva,2600,10,bbq_csirkecombok_r10.jpg
69,BBQ Csirke Pizza,"Grillezett csirkemell, édes BBQ szósz, lila hagymakarikák és olvadt mozzarella pizzán",2000,11,bbq_csirke_pizza_r11.jpg
70,Cézár Pizza,"Caesar saláta ihlette pizza csirkecsíkokkal, parmezánforgáccsal, krutonnyal és cézár öntettel",2100,11,cezar_pizza_r11.jpg
71,Bufala Mozzarella Pizza,"Friss bivalymozzarella, érett koktélparadicsom, bazsalikom és extraszűz olívaolaj pizzán",2300,11,bufala_mozzarella_pizza_r11.jpg
72,Carbonara Pizza,Tejszínes-tojásos carbonara szósz ropogós pancettával és friss pékoreccsel pizzán sütve,2200,11,carbonara_pizza_r11.jpg
73,Salmon Roll,"Friss atlanti lazac, krémes avokádó és uborka maki tekercs wasabival és szójaszósszal",2400,12,salmon_roll_r12.jpg
74,Tuna Nigiri,Kézzel formált rizsgolyó prémium friss tonhalszelettekkel és enyhén pikáns szójamártással,2600,12,tuna_nigiri_r12.jpg
75,Ebi Tempura,"Légies tempuratésztában sütött király garnéla sütőtökkel, cukkinivel és tentsuyu mártással",2200,12,ebi_tempura_r12.jpg
76,Sovereign Gyoza,"Ropogósra sütött japán dumpling garnélával, gyömbérrel és zöldhagymával, ponzu szósszal",1500,12,sovereign_gyoza_r12.jpg
77,Vasvári Marhapörkölt,Generációról generációra öröklött recept szerint készített paprikás marhapörkölt galuskával,2400,13,vasvari_marhaporkölt_r13.jpg
78,Töltött Káposzta,Savanyú káposztába tekert fűszeres darált hús és rizs tejföles-paradicsomos füstölthúsos lével,2200,13,toltott_kaposzta_r13.jpg
79,Házi Lecsó,Friss paprikából és érett paradicsomból készült autentikus lecsó tojással és csabai kolbásszal,1800,13,hazi_lecso_r13.jpg
80,Meggyes Rétes,"Ropogós, vékony réteslap édes-savanyú meggytöltelékkel és fahéjas porcukorral megszórva",900,13,meggyes_retes_r13.jpg
81,Vasvári Reggeli Tál,"Házi kovászos kenyér, friss vaj, sonka, sajt, főtt tojás, paradicsom és paprika válogatás",1800,14,vasvari_reggeli_tal_r14.jpg
82,Tojásos Szendvics,"Selymesen lágy rántotta pirított fehér kenyéren snidlinggel, sóval és frissen őrölt borssal",1200,14,tojasos_szendvics_r14.jpg
83,Friss Gyümölcslé,"Szezonális gyümölcsökből hidegen préselt, cukormentes friss gyümölcslé 3 dl-es adagban",900,14,friss_gyumolcsle_r14.jpg
84,Baracklekváros Palacsinta,"Vékony, aranybarnára sütött palacsinta házi sárgabaracklekváros töltelékkel és tejföllel",1000,14,baracklekvaros_palacsinta_r14.jpg

id,order_id,meal_id,restaurant_id,quantity,unit_price
1,1,1,1,2,1500
2,1,9,1,1,1800
3,2,2,2,1,1200
4,3,3,3,2,1300
5,4,4,4,1,1600
6,5,5,5,1,1700
7,6,6,6,2,1400
8,7,7,7,3,2000
9,8,8,8,1,2200
10,9,15,4,1,2500
11,10,10,1,2,1500
12,10,11,1,1,1800
13,11,17,7,2,500
14,12,18,8,3,1000
15,13,11,1,1,1800
16,13,12,1,2,2200
17,14,41,3,2,2100
18,14,43,3,1,900
19,15,45,5,1,2400
20,15,47,5,2,1100
21,16,53,7,1,2200
22,16,17,7,2,500
23,17,61,9,2,1400
24,17,64,9,1,1100
25,18,65,10,1,4500
26,18,67,10,1,1600
27,19,69,11,2,2000
28,19,72,11,1,2200
29,20,73,12,2,2400
30,20,75,12,1,2200
31,21,77,13,1,2400
32,21,80,13,2,900
33,22,26,14,2,2490
34,22,83,14,2,900
35,23,38,2,3,1900
36,23,40,2,1,1500
37,24,4,4,1,1600
38,24,15,4,1,2500
39,25,49,6,2,1600
40,25,51,6,1,2600
41,26,8,8,1,2200
42,26,57,8,2,2800
43,26,59,8,1,700
44,27,1,1,2,1500
45,27,10,1,1,1500
46,28,3,3,1,1300
47,28,41,3,1,2100
48,29,5,5,1,1700
49,29,46,5,1,2200
50,30,7,7,2,2000
51,30,54,7,1,1900
52,31,62,9,2,1800
53,31,64,9,1,1100
54,32,70,11,1,2100
55,32,71,11,2,2300

id,restaurant_id,user_id,ordered_at,delivered,status
1,1,4,2024-06-01 00:00:00+00,true,delivered
2,2,5,2024-06-02 00:00:00+00,true,delivered
3,3,6,2024-06-03 00:00:00+00,true,delivered
4,4,7,2024-06-04 00:00:00+00,true,delivered
5,5,8,2024-06-05 00:00:00+00,true,delivered
6,6,9,2024-06-06 00:00:00+00,true,delivered
7,7,10,2024-06-07 00:00:00+00,true,delivered
8,8,11,2024-06-08 00:00:00+00,true,delivered
9,4,12,2024-06-09 00:00:00+00,true,delivered
10,1,13,2024-06-10 00:00:00+00,true,delivered
11,7,14,2025-12-27 00:00:00+00,true,delivered
12,8,15,2026-01-31 00:00:00+00,true,delivered
13,1,22,2026-02-14 12:30:00+00,true,delivered
14,3,23,2026-02-20 18:15:00+00,true,delivered
15,5,24,2026-03-05 13:00:00+00,true,delivered
16,7,25,2026-03-18 19:45:00+00,true,delivered
17,9,26,2026-04-01 20:10:00+00,true,delivered
18,10,22,2026-04-10 12:00:00+00,true,delivered
19,11,23,2026-04-15 17:30:00+00,true,delivered
20,12,24,2026-04-20 19:00:00+00,true,delivered
21,13,25,2026-04-22 13:30:00+00,true,delivered
22,14,26,2026-04-25 08:45:00+00,true,delivered
23,2,4,2026-04-27 12:15:00+00,true,delivered
24,4,5,2026-04-28 19:00:00+00,true,delivered
25,6,6,2026-04-29 20:30:00+00,false,delivering
26,8,7,2026-04-30 18:00:00+00,false,preparing
27,1,8,2026-04-30 21:00:00+00,false,confirmed
28,3,9,2026-05-01 09:30:00+00,false,pending
29,5,10,2026-05-01 11:00:00+00,false,pending
30,7,11,2026-05-01 12:15:00+00,false,confirmed
31,9,12,2026-05-01 13:00:00+00,false,preparing
32,11,13,2026-05-01 13:45:00+00,false,delivering

id,name,owner_id
1,McDonald's,1
2,KFC,2
3,Burger King,3
4,Taj Mahal,3
5,Buddha Original,1
6,Király Bisztró,1
7,Pizza Mester,2
8,Sushi Szamuráj,3
9,Pizzéria,3
10,Royal Diner,1
11,Palace Pizzeria,2
12,Sovereign Sushi,3
13,Vasvári Villás,1
14,Vasvári Villás Reggeliző,1

id,name,owner_id
1,Royal Alapanyagbolt,1
2,Burger Kellék Shop,2
3,Sushi Supply Store,3
4,Vasvári Mini Market,1

id,username,first_name,last_name,email,password_hash,address,role
1,Nagypeter,Péter,Nagy,nagypeter@gmail.com,$2a$10$JOErmXxb0i5C9fECsUkvuuiFIEs/xE8K92z3cLjXVsKuC5E4RFsdm,"Budapest, Szökőkút utca 10.",owner
2,Kovacsanna,Anna,Kovács,akicsi@freemail.hu,$2a$10$JOErmXxb0i5C9fECsUkvuubDlh4Hiwr9RwC8Gbu9cBJHJxMdjElBW,"Szeged, Bálint Sándor utca 5.",owner
3,Nagygabor,Gábor,Nagy,nagy.gabor@freemail.hu,$2a$10$JOErmXxb0i5C9fECsUkvuuUA2q8EGmY7aPeh4py683GIjfG.HpjSy,"Debrecen, Kossuth Lajos utca 15.",owner
4,Totheszter,Eszter,Tóth,eszter.toth@freemail.hu,$2a$10$JOErmXxb0i5C9fECsUkvuuNUgY/6P08FzAoUp9C8LvGgXVfijcGEy,"Miskolc, József Attila utca 20.",customer
5,Szabolaszlo,László,Szabó,laszlo.szabo@freemail.hu,$2a$11$E.QB16J01iyysd0rsSAiAejSCoowVtF5E1SHxptuIVUYid6IlsZtC,"Pécs, Petőfi Sándor utca 8.",customer
6,Kisszoltan,Zoltán,Kiss,egyszelvedojavito@citromail.hu,$2a$12$3s72VLMwnslH0ZFDwtcze.ovrhFMVvtSzV364zycaAdQHbAjV3Y.2,"Győr, Mária utca 12.",customer
7,Magyarpeter,Péter,Magyar,mp@tisza.hu,"$scrypt$ln=14,r=8,p=1$6CldEWfdaLU9jnoLBE8dzw==$I0+jYzZEGql9fVzYvwqj0vB7cJIyMuSB8/XxhqtevfM=","Máriapócs, Vámospércs utca 91.",customer
8,vidiorban,Vidi,Orbán,vidiorban@gmail.com,"$scrypt$ln=14,r=8,p=1$iNJbalI1HcEt9M32AP9Skg==$biOCmsWnDzWlot88p2MOutQEZo72nucjDQJldcWuCEA=","Budapest, Puskás Aréna 1.",customer
9,jdoe,John,Doe,jdoe@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$bmPkJ3Ft7MY/RyXBQdApSQYfaXOpP5y7ua18",123 Main Street,customer
10,asmith,Anna,Smith,asmith@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$bmPkJ3Ft7MY/RyXBQdApSQYfaXOpP5y7ua18Pc55fa4",45 King Road,customer
11,bkovacs,Béla,Kovács,bkovacs@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$56c95xEX//0I/xl2KfDJ3Sv3dZpgbHWNYTBjMtWE01c",12 Petőfi utca,customer
12,nagy.eva,Éva,Nagy,eva.nagy@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$VhSV34sEkiIpI9R1T1ExrLBCvsxiUjeSZYTFXvk76yk",78 Kossuth tér,customer
13,tpeter,Péter,Tóth,tpeter@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$wVRehf0aPdJRgnqpEkzCgVuaZeZX1WmxGD298UCUahU",9 Rákóczi út,customer
14,kzsuzsa,Zsuzsa,Kiss,kzsuzsa@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$5d4eyAx0pz15SF7xZpxvdOXNLjGhF/2SyoYdyoMxepc",33 Ady Endre utca,customer
15,fmark,Márk,Farkas,fmark@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$k8OFPlRGFxWqc83orc6OgKd/a/5p9MWj2qNy+gJydzE",5 Béke tér,customer
16,ghorvath,Gábor,Horváth,ghorvath@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$fXvAoMgx+WOM0kBT7BZ40/sgUQdZuaGvPNzhLrF81Tg",101 Duna sor,courier
17,lbalazs,Balázs,Lakatos,lbalazs@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$Q9KGArtDPiXVz7xowbRCp1HcouTYG8ta9InWvktjgyk",67 Arany János utca,courier
18,mrita,Rita,Molnár,mrita@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$UIWXH/IoJ4DfmPot0cq5ln+iB4FDN+JKVO9XdTfiEwM",22 Széchenyi utca,admin
19,Maurice McDonald,"Maurice ",McDonald,McDonalds@gmail.com,$2a$12$SYIAJpp1y8uuH90NzFJt2eIo7Sokt2/PvWpOHQ5iKOLyWcA6YDjGq,"Szeged, Roosevelt tér 1.",owner
20,Harland Sanders,"Harland ",Sanders,KFC@gmail.com,$2a$12$SYIAJpp1y8uuH90NzFJt2eIo7Sokt2/PvWpOHQ5iKOLyWcA6YDjGq,"Szeged, Roosevelt tér 1.",owner
21,Chet Gepeeti,"Chet ",Gepeeti,chet.gepeeti@gmail.com,$2a$12$.AEDGVZzhEkh4hD6d63IvuxKa4sACeo5rNqNIZzN125heEsm9B4Ia,"Szeged, Roosevelt tér 1.",owner
22,fekete.laszlo,László,Fekete,fekete.laszlo@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$k8OFPlRGFxWqc83orc6OgKd/a/5p9MWj2qNy+gJydzE","Szeged, Dugonics tér 13.",customer
23,varga.tamas,Tamás,Varga,varga.tamas@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$k8OFPlRGFxWqc83orc6OgKd/a/5p9MWj2qNy+gJydzE","Budapest, Andrássy út 22.",customer
24,nemes.julia,Júlia,Nemes,nemes.julia@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$k8OFPlRGFxWqc83orc6OgKd/a/5p9MWj2qNy+gJydzE","Győr, Baross Gábor utca 3.",customer
25,papp.dora,Dóra,Papp,dora.papp@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$k8OFPlRGFxWqc83orc6OgKd/a/5p9MWj2qNy+gJydzE","Pécs, Király utca 7.",customer
26,szabo.adam,Ádám,Szabó,adam.szabo@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$k8OFPlRGFxWqc83orc6OgKd/a/5p9MWj2qNy+gJydzE","Debrecen, Piac utca 44.",customer
27,hegedus.peter,Péter,Hegedűs,peter.hegedus@email.com,"$argon2id$v=19$m=19456,t=2,p=1$cU9VMTI4QTZQNFFwTTBNU2YxRVViQT09$k8OFPlRGFxWqc83orc6OgKd/a/5p9MWj2qNy+gJydzE","Miskolc, Széchenyi utca 30.",courier
